h: 0.01
xi step: 0.001
xi: 0.1386108398437501
+----------------------+------------------------+------------------------+--------------------+
|          z           |          u_p           |           u            |         F          |
+----------------------+------------------------+------------------------+--------------------+
|          0           | 2.561696520395969e-06  | 3.5507890611689756e-07 |         0          |
|         0.01         | 2.5616964212303942e-06 | 3.5506288766892563e-07 | 102.97586007598467 |
|         0.02         | 2.5616949337470302e-06 | 3.5501483201565963e-07 | 205.9538999902495  |
|         0.03         | 2.5616884879917284e-06 | 3.549347382073088e-07  | 308.9360486106356  |
|         0.04         | 2.561671134083108e-06  | 3.548226049062889e-07  | 411.9237328492337  |
|         0.05         | 2.561634542356431e-06  | 3.546784307291817e-07  | 514.9176266357076  |
| 0.060000000000000005 | 2.5615680037261747e-06 | 3.5450221473506646e-07 |  617.917399863923  |
|         0.07         | 2.5614584304284413e-06 | 3.5429395705375185e-07 |  720.921467346043  |
|         0.08         | 2.5612903573503485e-06 | 3.540536596536382e-07  | 823.9267378488763  |
|         0.09         | 2.5610459441996464e-06 | 3.5378132724905456e-07 | 926.9283633358394  |
| 0.09999999999999999  | 2.560704978813759e-06  | 3.5347696834682063e-07 | 1029.919488596177  |
| 0.10999999999999999  | 2.5602448819534124e-06 | 3.5314059643161584e-07 | 1132.8910015110434 |
| 0.11999999999999998  | 2.5596407139720967e-06 |  3.52772231289515e-07  | 1235.8312842836376 |
| 0.12999999999999998  | 2.5588651837983347e-06 | 3.5237190046875855e-07 |  1338.72596604769  |
| 0.13999999999999999  | 2.5578886607137066e-06 | 3.519396408764666e-07  | 1441.5576773651635 |
|         0.15         | 2.5566791894553147e-06 | 3.5147550050956597e-07 | 1544.305807229828  |
|         0.16         | 2.5552025092168525e-06 | 3.509795403176763e-07  | 1646.9462633082321 |
|         0.17         | 2.5534220771681427e-06 | 3.504518361950865e-07  | 1749.4512362731978 |
| 0.18000000000000002  | 2.551299097157999e-06  | 3.498924810982417e-07  | 1851.788969216966  |
| 0.19000000000000003  | 2.5487925543105095e-06 | 3.4930158728434475e-07 | 1953.923533271035  |
| 0.20000000000000004  | 2.545859256269315e-06  | 3.4867928866575676e-07 | 2055.8146107070024 |
| 0.21000000000000005  | 2.5424538818888943e-06 | 3.4802574327384664e-07 | 2157.417286946631  |
| 0.22000000000000006  | 2.5385290382155547e-06 | 3.4734113582479306e-07 | 2258.6818530690894 |
| 0.23000000000000007  | 2.5340353266440816e-06 | 3.4662568037857997e-07 | 2359.553620567836  |
| 0.24000000000000007  | 2.5289214191784698e-06 | 3.4587962308104764e-07 | 2459.9727502777905 |
| 0.25000000000000006  | 2.5231341457666975e-06 | 3.4510324497736797e-07 | 2559.874097563862  |
| 0.26000000000000006  | 2.516618593720142e-06  | 3.442968648837078e-07  | 2659.1870760330053 |
|  0.2700000000000001  | 2.5093182202673713e-06 | 3.434608423021337e-07  | 2757.835542201951  |
|  0.2800000000000001  | 2.5011749793297405e-06 | 3.425955803620008e-07  | 2855.7377037195224 |
|  0.2900000000000001  | 2.492129463642145e-06  | 3.417015287691731e-07  | 2952.806053903674  |
|  0.3000000000000001  | 2.482121063375681e-06  | 3.407791867424488e-07  | 3048.9473355064288 |
|  0.3100000000000001  | 2.4710881424498574e-06 | 3.3982910591453446e-07 | 3144.0625367618386 |
|  0.3200000000000001  | 2.4589682337496114e-06 | 3.3885189317284383e-07 | 3238.0469228996562 |
|  0.3300000000000001  | 2.4456982544858564e-06 | 3.378482134133137e-07  | 3330.790106416998  |
| 0.34000000000000014  | 2.4312147429572912e-06 | 3.3681879217835934e-07 | 3422.1761594879363 |
| 0.35000000000000014  | 2.4154541179842657e-06 | 3.357644181480677e-07  |  3512.08377195238  |
| 0.36000000000000015  |  2.39835296229193e-06  | 3.346859454517823e-07  | 3600.386458356041  |
| 0.37000000000000016  | 2.379848331117975e-06  | 3.335842957654122e-07  | 3686.9528175077485 |
| 0.38000000000000017  | 2.359878087308674e-06  | 3.324604601581418e-07  |  3771.64684797333  |
|  0.3900000000000002  | 2.3383812641434947e-06 | 3.313155006507787e-07  | 3854.328322830975  |
|  0.4000000000000002  | 2.315298457091154e-06  | 3.301505514468064e-07  | 3934.853226865232  |
|  0.4100000000000002  | 2.2905722456458835e-06 | 3.2896681979636583e-07 | 4013.074259169063  |
|  0.4200000000000002  | 2.264147646318504e-06  | 3.277655864529332e-07  | 4088.8414038489263 |
|  0.4300000000000002  | 2.235972597759255e-06  | 3.265482056824572e-07  | 4162.002571179555  |
|  0.4400000000000002  | 2.205998478863241e-06  | 3.253161047852323e-07  | 4232.404311125807  |
| 0.45000000000000023  | 2.174180660550133e-06  | 3.240707830918797e-07  | 4299.892600631226  |
| 0.46000000000000024  | 2.1404790917107815e-06 | 3.228138103965579e-07  | 4364.313705459483  |
| 0.47000000000000025  | 2.104858919567901e-06  | 3.2154682479298746e-07 | 4425.515116658376  |
| 0.48000000000000026  | 2.0672911443972196e-06 | 3.202715298821194e-07  | 4483.346560889531  |
| 0.49000000000000027  | 2.0277533081900224e-06 | 3.189896913243559e-07  | 4537.661082923854  |
|  0.5000000000000002  | 1.9862302163962577e-06 | 3.1770313271419777e-07 | 4588.316197537224  |
|  0.5100000000000002  | 1.942714691356487e-06  | 3.164137307610871e-07  | 4635.175106847881  |
|  0.5200000000000002  | 1.897208355395666e-06  | 3.1512340976705775e-07 | 4678.107977812785  |
|  0.5300000000000002  | 1.849722440794877e-06  | 3.1383413539962174e-07 | 4716.993273142781  |
|  0.5400000000000003  | 1.8002786229589585e-06 | 3.1254790776709046e-07 | 4751.719127305575  |
|  0.5500000000000003  | 1.7489098720360884e-06 | 3.112667538132335e-07  | 4782.184757564002  |
|  0.5600000000000003  | 1.6956613169947468e-06 | 3.099927190587569e-07  | 4808.301898150354  |
|  0.5700000000000003  | 1.6405911146958238e-06 | 3.087278587284548e-07  | 4829.996243715422  |
|  0.5800000000000003  | 1.5837713147822958e-06 | 3.0747422831493434e-07 | 4847.208886127585  |
|  0.5900000000000003  | 1.5252887092120607e-06 | 3.062338736423819e-07  | 4859.897726552718  |
|  0.6000000000000003  | 1.4652456529453599e-06 | 3.0500882050673684e-07 | 4868.038842546579  |
|  0.6100000000000003  | 1.4037608396296635e-06 | 3.0380106398163013e-07 | 4871.6277876721915 |
|  0.6200000000000003  | 1.3409700130645404e-06 | 3.026125574922517e-07  | 4870.680798959437  |
|  0.6300000000000003  | 1.2770265917419899e-06 | 3.0144520177161186e-07 | 4865.235885407185  |
|  0.6400000000000003  | 1.2121021798141085e-06 | 3.003008338250853e-07  | 4855.353768756898  |
|  0.6500000000000004  | 1.1463869334203266e-06 | 2.991812160392677e-07  | 4841.118646021819  |
|  0.6600000000000004  | 1.080089746407238e-06  | 2.9808802557958465e-07 | 4822.638741834788  |
